id,name,type,cost,text,count,color,image,template
F01,ファイアボール,魔法,4,対象に3ダメージを与える,3,#e74c3c,/card-images/fire.svg,spell
F02,ライトニング,魔法,5,全体に2ダメージ,2,#e74c3c,/card-images/lightning.svg,spell
F03,メテオ,魔法,8,全体に5ダメージ,1,#e74c3c,/card-images/meteor.svg,spell
W01,清水の泉,魔法,2,味方1体のHPを3回復,3,#3498db,/card-images/heal.svg,spell
W02,氷結の壁,魔法,3,味方全体の防御+2（1ターン）,2,#3498db,/card-images/ice.svg,spell
W03,タイダルウェーブ,魔法,6,敵全体に3ダメージ＋凍結,1,#3498db,/card-images/water.svg,spell
E01,大地の盾,魔法,2,味方1体の防御+3（2ターン）,3,#f39c12,/card-images/shield.svg,spell
E02,地震,魔法,5,全体に2ダメージ＋スタン,2,#f39c12,/card-images/earth.svg,spell
N01,エルフの射手,ユニット,3,召喚時：1ドロー,4,#2ecc71,/card-images/wind.svg,unit
N02,ドワーフの戦士,ユニット,4,HP+2 攻撃+1,3,#2ecc71,/card-images/sword.svg,unit
N03,ゴブリンの斥候,ユニット,1,先制攻撃,4,#2ecc71,/card-images/summon.svg,unit
N04,ドラゴンの子,ユニット,6,飛行 攻撃+3,2,#9b59b6,/card-images/fire.svg,unit
N05,ゴーレム,ユニット,5,防御+4 反撃,2,#9b59b6,/card-images/earth.svg,unit
D01,薬草園,建物,2,ターン開始時：HP1回復,2,#1abc9c,/card-images/heal.svg,default
D02,鍛冶屋,建物,3,ユニットの攻撃+1,2,#1abc9c,/card-images/sword.svg,default
D03,魔法の塔,建物,4,魔法のコスト-1,1,#1abc9c,/card-images/lightning.svg,default
D04,城塞,建物,6,全味方の防御+2,1,#1abc9c,/card-images/shield.svg,default
S01,宝箱,アイテム,0,2ドロー,3,#e67e22,/card-images/light.svg,default
S02,回復のポーション,アイテム,1,HP5回復,3,#e67e22,/card-images/heal.svg,default
S03,強化の巻物,アイテム,2,攻撃+3（1ターン）,2,#e67e22,/card-images/buff.svg,default
